# mode    freq(cm-1)    alpha    beta2    activity
020   619.35692  -0.2831433   4.9430098  38.2087241
021   617.32819   1.2573409  29.9929786  281.0916273
022   610.69124   2.6838864  28.3968047  522.9237046
023   609.39088   0.8446751   3.9162817  59.5203915
024   599.43881  -0.1405670   2.3988252  17.6809356
025   596.33235   0.8213883   2.7545336  49.6422764
026   595.36803   1.1298171  13.9563982  155.1366857
027   593.98802  -0.8877873   0.5511453  39.3254991
028   590.62995   1.7362558   2.1691279  150.8401838
029   586.34489   0.6910710   3.0161246  42.6039355
030   583.66245  -2.9789354  60.3729185  821.9429578
031   578.09512   1.6603493  10.3094014  196.2199975
032   571.61709  -0.3458268  23.5500363  170.2320823
033   561.07331  -1.1050347   1.6804670  66.7128481
034   559.08333   0.6602826   7.4281028  71.6155127
035   550.73257  -2.8488757  14.2700437  465.1144923
036   550.21845   1.2555025  22.4238208  227.8996379
037   544.97044   0.2101723   2.1707646  17.1831092
038   542.83940   1.3927518  33.0330970  318.5207732
039   537.74873  -2.0039341   4.2056108  210.1481150
040   535.96068   0.3349327   5.4425772  43.1461364
041   529.81133   0.7985732   5.3899237  66.4268291
042   527.92680  -1.1867807   2.9909906  84.3171106
043   525.50240  -1.3463064   1.9758959  95.3956068
044   524.28792   0.5196952  18.3268448  140.4416527
045   522.13352   0.2423788  16.3143596  116.8441534
046   518.84644  -0.4085932  24.9684583  182.2918866
047   515.67106   1.8675391   5.1557177  193.0366214
048   515.21227  -0.7784465   3.2218296  49.8218617
049   511.09375   1.0258676  22.9084385  207.7172678
050   507.11592  -0.1297505   5.8670671  41.8270540
051   504.56993  -2.3970643  26.7540572  445.8446863
052   501.12911   0.3734299   5.5306290  44.9896495
053   498.42150   0.0889719  17.8211956  125.1045889
054   496.19144  -0.7307657   3.6420589  49.5252480
055   494.56979   0.4614752   0.8335587  15.4180827
056   491.79764  -1.2331331   4.7905239  101.9614455
057   490.30639   0.6582692   3.4192156  43.4338338
058   482.89409  -1.0408260   4.4549852  79.9342423
059   481.90019   0.9781492   5.0183776  78.1835581
060   481.11205  -2.1110921  11.8568501  283.5499028
061   476.18040   0.1448599   3.4604527  25.1674672
062   474.07053  -0.5666540   5.8158583  55.1603619
063   470.45114  -0.6917817  10.7365368  96.6910408
064   469.97984  -0.4039544   7.4048611  59.1770914
065   468.34749   0.1871535   2.1903437  16.9085952
066   465.82306   0.0686203  10.3616300  72.7433036
067   464.49845  -0.8516324  39.1257432  306.5177031
068   460.24171  -0.3131632  19.6330596  141.8446218
069   458.36524   0.4006042   2.9292791  27.7267215
070   458.18439   0.2545549   5.8652829  43.9728985
071   451.19851  -0.7626493   6.1826320  69.4519515
072   449.38697   0.0033187   2.9890574  20.9238973
073   447.40595  -0.6195212   6.2845864  61.2633953
074   445.95806  -0.1821429   4.2357402  31.1431035
075   444.14105   0.4828376   8.5809765  70.5577826
076   443.22166   0.0394787   4.3126729  30.2588456
077   439.66731   1.1047872   3.0049795  75.9598215
078   437.03406  -0.0004141   5.9114008  41.3798136
079   435.10833  -0.6285540  10.7187576  92.8099116
080   432.85624   0.6916725   3.9147941  48.9320453
081   428.51103  -2.1033236  14.0180842  297.2052441
082   427.33165  -0.2081486  10.6141958  76.2490324
083   424.56883   0.4632158   4.1533480  38.7290343
084   422.93970  -0.4987771   5.1443801  47.2056980
085   418.98205  -1.9407492  22.0548089  323.8764998
