# mode    freq(cm-1)    alpha    beta2    activity
021   605.75899   1.1542579  20.5446036  203.7662348
022   597.02230   0.9244209   2.2222804  54.0108966
023   594.39880   0.7858861   9.8815212  96.9634140
024   592.42669   0.4726233   3.1671380  32.2217392
025   586.24601  -2.5275797  14.6725233  390.1973230
026   584.37081   0.7801441   8.4425982  86.4863046
027   582.60773  -0.5618424   2.3083409  30.3633959
028   578.07288  -0.7047620  19.5368877  159.1092384
029   576.09124  -0.2645498   3.4328105  27.1790701
030   574.57019  -0.8346461   8.0695839  87.8356233
031   572.51578   0.6494768   0.5369666  22.7406706
032   571.28031  -1.3426455   5.6600414  120.7416563
033   570.57173  -1.9870559  29.2846038  382.6698280
034   568.14538   1.4127789   1.8354172  102.6654064
035   565.43186   0.3916661   2.2906384  22.9375728
036   563.24601  -0.4166172   0.8793917  13.9663861
037   560.43357  -0.4657365   0.8899864  15.9908781
038   557.21394   0.5298638   3.5919434  37.7776098
039   550.72850  -0.5359792   2.2305882  28.5414335
040   548.16696   1.0123823   5.3315222  83.4419630
041   544.52827   0.7926513  16.9246251  146.7457001
042   543.09195   4.2517130  150.0450632  1863.7833114
043   539.48774   1.3930998  12.7958517  176.9036808
044   535.55490  -1.3487536  22.5021635  239.3762755
045   535.05045  -0.0869615   8.2135360  57.8350561
046   533.01135   0.0523807   1.0644035   7.5742929
047   528.05455  -0.1929547   7.5442159  54.4849290
048   526.86833  -1.7937297  27.6513430  338.3453871
049   522.00843   0.4634090   4.4811188  41.0314856
050   521.50995   1.0817676   4.5756296  84.6893607
051   519.69794   0.3366922  33.5614192  240.0312080
052   516.91009  -1.0777879   3.8268550  79.0611908
053   513.85177   2.7918646  28.3008004  548.8584680
054   513.29022   1.5251015  39.0307451  377.8822712
055   508.84568   2.4544299  17.2586791  391.9009343
056   506.69489  -0.0920127   3.9321108  27.9057614
057   506.37520   0.2427245   1.8663163  15.7153974
058   503.22736   0.8871615   2.5538915  53.2947416
059   501.79904  -1.2421606   9.8264317  138.2183581
060   499.30113  -0.0484768   1.9419366  13.6993063
061   497.42789  -0.1904712  11.6197679  82.9709436
062   495.39119   0.8107548   1.5939226  40.7370100
063   494.14801  -1.4128664  62.1808137  525.0943071
064   492.36495   1.2529156   4.3836276  101.3262782
065   489.18187  -0.3048637   1.2439778  12.8902286
066   484.85021   0.1811451   1.3939409  11.2341951
067   483.86139   1.2859213   6.4906808  119.8464811
068   481.91598  -0.2299829   0.8563008   8.3742509
069   480.04041   1.0274474   3.8063774  74.1488093
070   478.68485  -0.2992907   2.8801444  24.1918817
071   477.53539  -1.0318933   4.0713585  76.4156802
072   475.06591   0.4018064   0.7954940  12.8336356
073   473.88438  -0.3637628   4.8625073  39.9921025
074   471.95696   0.2156652   7.0922077  51.7384708
075   470.10404  -0.1649966   6.5071213  46.7749245
076   468.33555  -0.4938835  12.1770888  96.2160625
077   463.25939  -0.0401604   9.1005342  63.7763177
078   462.23625   0.6702079   1.6823816  31.9897082
079   455.44602   0.8959353   4.0569731  64.5203152
080   454.76385   0.4546472   5.4163870  47.2163919
081   454.13701  -0.4094999   2.0949773  22.2109000
082   452.87107  -0.0849874   7.0599281  49.7445255
083   450.57169   0.0265926   3.2818571  23.0048219
084   447.29640   0.5310729   3.4415727  36.7827389
085   445.85441  -1.7335996   6.9139408  183.6391309
086   441.49466   1.0520841   3.3214128  73.0595327
087   439.92031   0.3801383   8.9462479  69.1264650
088   436.55400   1.3460246  26.7207767  268.5756396
089   434.01931  -0.2059604   5.2577641  38.7132346
090   432.86685  -1.3967368  30.4222152  300.7448173
091   431.37111   0.1117026  13.1838982  92.8487740
092   430.72129   0.3960513   2.0733755  21.5721767
093   429.72361  -0.6194567   4.9344589  51.8089100
094   429.04731   0.9084734   4.9168027  71.5571914
095   426.32179   0.1155529   5.2722733  37.5067742
096   423.45205  -0.4111660  16.3332769  121.9405240
097   422.35776  -1.6791096  36.8613698  384.9030033
098   419.77342  -0.3783167   3.5947802  31.6040194
099   417.29045   0.8052874  13.6315383  124.6027219
100   415.60776  -1.1740806  17.2692931  182.9159906
101   412.92458   0.2592233   3.8938419  30.2807469
102   410.80938  -1.6957105  28.8068487  331.0424796
103   410.49439  -0.4632975   7.1089114  59.4213852
104   409.36121  -0.4573184   1.5140868  20.0099124
105   407.72480  -0.5534190   2.6409125  32.2686541
106   405.31448  -1.4588322   2.3433838  112.1723040
107   403.22417   0.4351406   8.8791438  70.6746373
108   401.36912  -1.8805493   9.6984511  227.0301146
109   400.04401  -0.2345923   3.2266376  25.0629741
110   398.55354  -0.7720662   1.6542439  38.4035876
111   397.36314  -0.4016511   9.2703405  72.1519463
112   395.69524  -0.4839638   3.5392413  35.3146308
113   393.69295   1.4100859  72.5707680  597.4707795
114   393.35443   0.1912428  19.8407901  140.5313519
115   390.72448  -0.4961961  11.9110628  94.4569129
116   388.19877  -0.1085866   1.5890140  11.6536953
117   387.60093  -0.3899569   2.0896556  21.4705755
118   387.53800  -0.0089505   2.6754386  18.7316755
119   386.14260   0.5260268   5.5529721  51.3224932
120   381.47223   0.9213554   7.0172889  87.3213296
121   381.29959  -1.0671555  44.4501454  362.3979548
122   380.13173  -0.3260456  30.8552949  220.7708213
123   378.91246  -0.6660472   3.2463313  42.6871680
124   377.64590   1.3772297   5.3138507  122.5512325
125   374.75422   1.1153645  17.6798355  179.7405602
126   373.23621  -1.4252269   1.2438885  100.1144519
127   371.71187   0.3900283   0.9797546  13.7037747
128   370.59326  -0.0023652   2.6317610  18.4225787
129   368.00981  -1.5404647  12.4126261  193.6747959
130   367.63106  -0.2978717  27.0667956  193.4603080
131   366.32597  -0.2801446   2.2577883  19.3361631
132   364.56480  -0.0260210   0.9573445   6.7318809
133   363.10319  -0.1443477   0.3443038   3.3477582
134   360.54930  -0.4293567   2.9189801  28.7284845
135   360.08507  -0.5063547  12.7206850  100.5825759
136   359.62205   0.5806623   2.3347414  31.5157796
137   357.59996  -0.8069305   4.6747747  62.0245812
138   355.85801   1.3131965  12.6374263  166.0638059
139   354.51495   1.1246607  13.0890032  148.5417985
